"created_at","id","id_str","text","truncated","entities:hashtags:text","entities:hashtags:indices","entities:symbols","entities:user_mentions","entities:urls","metadata:iso_language_code","metadata:result_type","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","user:id","user:id_str","user:name","user:screen_name","user:location","user:description","user:url","user:entities:description:urls","user:protected","user:followers_count","user:friends_count","user:listed_count","user:created_at","user:favourites_count","user:utc_offset","user:time_zone","user:geo_enabled","user:verified","user:statuses_count","user:lang","user:contributors_enabled","user:is_translator","user:is_translation_enabled","user:profile_background_color","user:profile_background_image_url","user:profile_background_image_url_https","user:profile_background_tile","user:profile_image_url","user:profile_image_url_https","user:profile_banner_url","user:profile_link_color","user:profile_sidebar_border_color","user:profile_sidebar_fill_color","user:profile_text_color","user:profile_use_background_image","user:has_extended_profile","user:default_profile","user:default_profile_image","user:following","user:follow_request_sent","user:notifications","user:translator_type","geo","coordinates","place","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","lang"
"Mon Apr 01 17:13:50 +0000 2019",1112765023829614593,"1112765023829614593","TODAY:
Tennis match @ activity center @ 3:45
Soccer game @ 6
Softball game @ 5:30
Baseball game @ 6:30 
ALL HOME #TROJANPRIDE",FALSE,"TROJANPRIDE","113","()","()","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,3003301605,"3003301605","The Gold Club","dyersburgss","Dyersburg, TN","dburg student section... the players depend on us. #TROJANPRIDE",NA,"()",FALSE,453,38,0,"Wed Jan 28 15:14:46 +0000 2015",380,NA,NA,TRUE,FALSE,727,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/828611405767118849/gI7DlmRF_normal.jpg","https://pbs.twimg.com/profile_images/828611405767118849/gI7DlmRF_normal.jpg","https://pbs.twimg.com/profile_banners/3003301605/1487657416","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Mon Apr 01 17:13:50 +0000 2019",1112765023703760896,"1112765023703760896","RT @HRWcanada: #HotDocs19 will run April 25-May 5! Don't miss “Khartoum Offside,” an urgent doc on a group of Sudanese women fighting for t…",FALSE,"HotDocs19","15","()","((screen_name . HRWcanada) (name . Human Rights Watch Canada) (id . 2174616960) (id_str . 2174616960) (indices . #(3 13)))","()","en","recent","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,19632023,"19632023","Hot Docs","hotdocs","Toronto, Ontario, Canada","North America's largest documentary festival, @hotdocsindustry conference and market. We also own & operate @HotDocsCinema. #HotDocs19: April 25–May 5","https://t.co/CO4tdS79z3","()",FALSE,57586,3511,1575,"Wed Jan 28 02:38:55 +0000 2009",21955,NA,NA,TRUE,TRUE,24523,"en",FALSE,FALSE,FALSE,"269FA3","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/876813631492456449/Cd-1-mjO_normal.jpg","https://pbs.twimg.com/profile_images/876813631492456449/Cd-1-mjO_normal.jpg","https://pbs.twimg.com/profile_banners/19632023/1553014366","97A926","FFFFFF","9FC448","060505",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,1,0,FALSE,FALSE,"en"
"Mon Apr 01 17:13:49 +0000 2019",1112765018389520384,"1112765018389520384","It’s game day again! We’ll have enough soccer the next three weeks to think you live in England! Tonight it’s at ho… https://t.co/ipsTzsIhk6",TRUE,NA,NA,"()","()","((url . https://t.co/ipsTzsIhk6) (expanded_url . https://twitter.com/i/web/status/1112765018389520384) (display_url . twitter.com/i/web/status/1…) (indices . #(117 140)))","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,3121096753,"3121096753","Glenpool Soccer","Glenpool_Soccer","Glenpool School District","The official account for Glenpool Soccer. Boys: 2016 District Champs. Girls: '13, '14, '15 District Champs. '15 State Champs.","https://t.co/kqPZpIohmn","()",FALSE,343,136,0,"Tue Mar 31 17:41:07 +0000 2015",78,NA,NA,FALSE,FALSE,1612,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/961697560888008704/u0reVdql_normal.jpg","https://pbs.twimg.com/profile_images/961697560888008704/u0reVdql_normal.jpg","https://pbs.twimg.com/profile_banners/3121096753/1550193966","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Mon Apr 01 17:13:48 +0000 2019",1112765015512285184,"1112765015512285184","@FcFrontier @Hamburg_Soccer https://t.co/uCamXarLeG",FALSE,NA,NA,"()","((screen_name . FcFrontier) (name . Frontier FC) (id . 2615262794) (id_str . 2615262794) (indices . #(0 11)))","()","und","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1112726323674431488,"1112726323674431488",2615262794,"2615262794","FcFrontier",3583430177,"3583430177","Colin Margerum","voltzage","","frontier fc | 716",NA,"()",FALSE,211,203,0,"Tue Sep 08 03:13:17 +0000 2015",829,NA,NA,TRUE,FALSE,639,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1103869349083791361/y3JYycRy_normal.jpg","https://pbs.twimg.com/profile_images/1103869349083791361/y3JYycRy_normal.jpg","https://pbs.twimg.com/profile_banners/3583430177/1553439924","19CF86","000000","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"und"
"Mon Apr 01 17:13:47 +0000 2019",1112765010114170880,"1112765010114170880","RT @KABERO333: @szurita  @disparamargot @ximenadelam @faustoponce @chekozaun #EsDeMexicanos pensar que México sea campeón en Soccer 😂😂😂😂",FALSE,"EsDeMexicanos","77","()","((screen_name . KABERO333) (name . Kari Beltrán) (id . 275136242) (id_str . 275136242) (indices . #(3 13)))","()","es","recent","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,87775038,"87775038","Dispara Margot","disparamargot","","De lunes a viernes, 10:00 a 12:00 del día por MVS Radio.","http://t.co/gTqOkbxzp4","()",FALSE,123362,1540,369,"Thu Nov 05 20:28:29 +0000 2009",23564,NA,NA,FALSE,FALSE,19649,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",TRUE,"http://pbs.twimg.com/profile_images/518963769448214530/b60Tbkle_normal.jpeg","https://pbs.twimg.com/profile_images/518963769448214530/b60Tbkle_normal.jpeg","https://pbs.twimg.com/profile_banners/87775038/1412565438","0084B4","FFFFFF","DDEEF6","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,1,0,FALSE,FALSE,"es"
"Mon Apr 01 17:13:45 +0000 2019",1112765003881480192,"1112765003881480192","RT @bean0992: @Cities_PDX I think a sports park would be cool. Like baseball fields, soccer fields for like youth sports. Also national par…",FALSE,NA,NA,"()","((screen_name . bean0992) (name . Ryan J) (id . 2902083516) (id_str . 2902083516) (indices . #(3 12)))","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,1033902969404747778,"1033902969404747778","GameInfo TV","GameInfoTV1","NRW, near Cologne, Germany","Offizieller acc. von GameInfo TV. • Infos zum Kanal & zu Spielen        • Info-,Update-&Gameplayvideos     • Immer mal wieder Uploadpläne und halt GameInfos😄👾","https://t.co/8PKXB6drmG","()",FALSE,9,24,0,"Mon Aug 27 02:24:11 +0000 2018",710,NA,NA,FALSE,FALSE,712,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1043627148580409357/MSureMIG_normal.jpg","https://pbs.twimg.com/profile_images/1043627148580409357/MSureMIG_normal.jpg","https://pbs.twimg.com/profile_banners/1033902969404747778/1545651989","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,2,0,FALSE,FALSE,"en"
"Mon Apr 01 17:13:44 +0000 2019",1112764999288713216,"1112764999288713216","@vanicchies SHUT UP HATER, BEYBLADES ARE COOLER THAN THAT BORING ASS SOCCER.",FALSE,NA,NA,"()","((screen_name . vanicchies) (name . Vani @ ¡Qué boom, Amigos! 🌈) (id . 3655866323) (id_str . 3655866323) (indices . #(0 11)))","()","en","recent","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1112763464454471681,"1112763464454471681",3655866323,"3655866323","vanicchies",335071157,"335071157","SUPER ANDROID Sirender","Cross_Ultimate","Asteroide B-612","You can't write Winspector without win. Machamp memes every day. ESP/BROKEN ENGRISH I occassionally draw mecha and toku stuff.","https://t.co/7KQDbqdT05","()",FALSE,1478,298,44,"Thu Jul 14 03:14:15 +0000 2011",14776,NA,NA,TRUE,FALSE,98573,"en",FALSE,FALSE,FALSE,"1A1B1F","http://abs.twimg.com/images/themes/theme9/bg.gif","https://abs.twimg.com/images/themes/theme9/bg.gif",TRUE,"http://pbs.twimg.com/profile_images/1014420879533584384/6MnSJ_bh_normal.jpg","https://pbs.twimg.com/profile_images/1014420879533584384/6MnSJ_bh_normal.jpg","https://pbs.twimg.com/profile_banners/335071157/1403834727","FA743E","FFFFFF","252429","666666",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"regular",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Mon Apr 01 17:13:43 +0000 2019",1112764996168105984,"1112764996168105984","@CertifiedTrolll soccer city",FALSE,NA,NA,"()","((screen_name . CertifiedTrolll) (name . Indecent Troll) (id . 254714662) (id_str . 254714662) (indices . #(0 16)))","()","en","recent","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1112764863514841089,"1112764863514841089",254714662,"254714662","CertifiedTrolll",3319905632,"3319905632","AniE","ibe_anie","Soccer City","Double Infinity","https://t.co/SLyCXo6srd","()",FALSE,9868,196,25,"Wed Aug 19 10:43:06 +0000 2015",135666,NA,NA,FALSE,FALSE,198361,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1111192418488074241/Qa5W-9hy_normal.jpg","https://pbs.twimg.com/profile_images/1111192418488074241/Qa5W-9hy_normal.jpg","https://pbs.twimg.com/profile_banners/3319905632/1538667195","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Mon Apr 01 17:13:42 +0000 2019",1112764988568031232,"1112764988568031232","@TheDazeel Sensible Soccer",FALSE,NA,NA,"()","((screen_name . TheDazeel) (name . Darren McCarthy) (id . 339946551) (id_str . 339946551) (indices . #(0 10)))","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1112402265896337408,"1112402265896337408",339946551,"339946551","TheDazeel",1095289533158043648,"1095289533158043648","AylesbyRed","Aylesred","Liverpool, England","This Bird Doesn't Suck / We Are The Originals / Don't Buy The S#n",NA,"()",FALSE,93,141,0,"Tue Feb 12 11:52:28 +0000 2019",393,NA,NA,FALSE,FALSE,606,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1095289777132367873/inVL_xu6_normal.jpg","https://pbs.twimg.com/profile_images/1095289777132367873/inVL_xu6_normal.jpg","https://pbs.twimg.com/profile_banners/1095289533158043648/1549972559","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Mon Apr 01 17:13:31 +0000 2019",1112764942543929344,"1112764942543929344","RT @BestElemLibrary: Soccer comes to life!  Yay Christopher!  @Alief_Libraries @AliefTech @Best_Bulldogs #aliefatapple https://t.co/UDbd0ho…",FALSE,"aliefatapple","105","()","((screen_name . BestElemLibrary) (name . Best Elementary Library) (id . 1963666585) (id_str . 1963666585) (indices . #(3 19)))","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,4855227794,"4855227794","Katie Sokolik","SokolikKatie","Houston, TX","Things that light up my life: • God, Jesus, & the Holy Spirit • My husband • My cats • Star Trek • Making life's adventures","https://t.co/wJ3bOZzbQ8","()",FALSE,330,521,2,"Wed Feb 03 18:07:52 +0000 2016",16637,NA,NA,FALSE,FALSE,2723,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/954040268084465664/7I6Rjt8g_normal.jpg","https://pbs.twimg.com/profile_images/954040268084465664/7I6Rjt8g_normal.jpg","https://pbs.twimg.com/profile_banners/4855227794/1459216289","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,3,0,FALSE,FALSE,"en"
"Mon Apr 01 17:13:29 +0000 2019",1112764937443643393,"1112764937443643393","Messi &amp; Ronaldo have been running the show for years but there are others like Hazard who deserve respect for their… https://t.co/C63iiSCIbF",TRUE,NA,NA,"()","()","((url . https://t.co/C63iiSCIbF) (expanded_url . https://twitter.com/i/web/status/1112764937443643393) (display_url . twitter.com/i/web/status/1…) (indices . #(121 144)))","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,785106157371285504,"785106157371285504","Alliance","DubaiAlliance","Dubai, United Arab Emirates","One of the leading football academies in Middle East. #StriveToProgress #Football #Dubai","https://t.co/1SkWJUfdFX","()",FALSE,1670,1132,3,"Sun Oct 09 13:14:29 +0000 2016",722,NA,NA,TRUE,FALSE,458,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1027978136548519938/oluBePoj_normal.jpg","https://pbs.twimg.com/profile_images/1027978136548519938/oluBePoj_normal.jpg","https://pbs.twimg.com/profile_banners/785106157371285504/1552878785","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,((id . 001907e868d06e24) (url . https://api.twitter.com/1.1/geo/id/001907e868d06e24.json) (place_type . admin) (name . Dubai) (full_name . Dubai, United Arab Emirates) (country_code . AE) (country . United Arab Emirates) (contained_within . #()) (bounding_box (type . Polygon) (coordinates . #(#(#(54.8939725 24.6182526) #(56.2083722 24.6182526) #(56.2083722 25.3686719) #(54.8939725 25.3686719))))) (attributes)),NA,FALSE,0,1,FALSE,FALSE,"en"
"Mon Apr 01 17:13:24 +0000 2019",1112764913284513793,"1112764913284513793","@RJHeels @JennApple @thekellyfrances But they have absolutely shown improvement. Since creating only 3 chances agai… https://t.co/NfOef2xMdE",TRUE,NA,NA,"()","((screen_name . RJHeels) (name . RJHeels) (id . 876848254050336769) (id_str . 876848254050336769) (indices . #(0 8)))","((url . https://t.co/NfOef2xMdE) (expanded_url . https://twitter.com/i/web/status/1112764913284513793) (display_url . twitter.com/i/web/status/1…) (indices . #(117 140)))","en","recent","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1112496204271759360,"1112496204271759360",876848254050336769,"876848254050336769","RJHeels",16691201,"16691201","J Kulani Prescott","JKulani","Atlanta, GA","Mostly here to read funny things or things about soccer or things about politics. Sometimes I even Tweet.",NA,"()",FALSE,194,316,5,"Sat Oct 11 00:42:26 +0000 2008",20,NA,NA,FALSE,FALSE,1066,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/62283761/AHHHH_normal.jpg","https://pbs.twimg.com/profile_images/62283761/AHHHH_normal.jpg","https://pbs.twimg.com/profile_banners/16691201/1552576132","ABB8C2","000000","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Mon Apr 01 17:13:20 +0000 2019",1112764896985391105,"1112764896985391105","RT @luhwavyyy: ight let’s settle this shit fr 

rt for Chief Keef
like for G Herbo https://t.co/BsLA9f3q1G",FALSE,NA,NA,"()","((screen_name . luhwavyyy) (name . wa.vyyy🤑) (id . 746578820489220096) (id_str . 746578820489220096) (indices . #(3 13)))","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,498398935,"498398935","Alexis Marquez","Soccer_timee","","family never dies | T💕|",NA,"()",FALSE,778,754,6,"Tue Feb 21 00:57:17 +0000 2012",58162,NA,NA,TRUE,FALSE,88706,"en",FALSE,FALSE,FALSE,"1A1B1F","http://abs.twimg.com/images/themes/theme9/bg.gif","https://abs.twimg.com/images/themes/theme9/bg.gif",FALSE,"http://pbs.twimg.com/profile_images/1109926658688077825/6Lo4c3q1_normal.jpg","https://pbs.twimg.com/profile_images/1109926658688077825/6Lo4c3q1_normal.jpg","https://pbs.twimg.com/profile_banners/498398935/1553797428","2FC2EF","181A1E","252429","666666",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,9537,0,FALSE,FALSE,"en"
